0.1,0.040121
0.10975,0.043989
0.12045,0.048226
0.13219,0.052865
0.14508,0.057944
0.15923,0.063504
0.17475,0.069586
0.19179,0.07624
0.21049,0.083517
0.23101,0.091471
0.25354,0.10016
0.27826,0.10966
0.30539,0.12002
0.33516,0.13133
0.36784,0.14367
0.4037,0.15711
0.44306,0.17176
0.48626,0.1877
0.53367,0.20503
0.5857,0.22387
0.64281,0.24432
0.70548,0.26649
0.77426,0.29051
0.84975,0.31649
0.9326,0.34457
1.0235,0.37485
1.1233,0.40746
1.2328,0.44251
1.353,0.48013
1.485,0.5204
1.6298,0.56342
1.7886,0.60926
1.963,0.65798
2.1544,0.7096
2.3645,0.76413
2.595,0.82154
2.848,0.88176
3.1257,0.94468
3.4305,1.0102
3.7649,1.078
4.132,1.148
4.5349,1.2199
4.977,1.2933
5.4623,1.3679
5.9948,1.4432
6.5793,1.519
7.2208,1.5948
7.9248,1.6702
8.6975,1.7447
9.5455,1.8179
10.476,1.8896
11.498,1.9593
12.619,2.0268
13.849,2.0919
15.199,2.1543
16.681,2.2138
18.307,2.2704
20.092,2.3241
22.051,2.3747
24.201,2.4224
26.561,2.467
29.151,2.5088
31.993,2.5478
35.112,2.5841
38.535,2.6178
42.292,2.6491
46.416,2.678
50.941,2.7048
55.908,2.7295
61.359,2.7522
67.342,2.7732
73.907,2.7924
81.113,2.8102
89.022,2.8264
97.701,2.8413
107.23,2.855
117.68,2.8675
129.15,2.879
141.75,2.8895
155.57,2.8992
170.74,2.9079
187.38,2.916
205.65,2.9233
225.7,2.9301
247.71,2.9362
271.86,2.9418
298.36,2.9469
327.45,2.9516
359.38,2.9559
394.42,2.9597
432.88,2.9633
475.08,2.9665
521.4,2.9695
572.24,2.9722
628.03,2.9746
689.26,2.9769
756.46,2.9789
830.22,2.9808
911.16,2.9825
1000,2.984
