1,2.984
2,4.9641
3,6.9362
4,8.9003
5,10.856
6,12.805
7,14.745
8,16.677
9,18.601
10,20.518
11,22.426
12,24.326
13,26.219
14,28.103
15,29.98
16,31.849
17,33.709
18,35.562
19,37.407
20,39.244
